省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
天津市,海河流域,阎辛庄,02-28 20:00,Ⅲ,9.7,8.21,10.54,1711.1,11.2,5.41,0.125,0.062,7.46,*,*,正常
天津市,海河流域,于桥水库出口,02-28 20:00,Ⅱ,8.7,8.20,8.71,574.5,2.7,2.68,0.173,0.018,2.13,*,*,正常
天津市,海河流域,黎河桥,02-28 20:00,Ⅱ,5.9,8.11,13.23,698.5,4.7,2.33,0.055,0.026,11.67,*,*,正常
天津市,海河流域,沙河桥,02-28 20:00,Ⅱ,5.9,7.92,14.18,962.1,5.3,2.83,0.160,0.053,11.11,*,*,正常
天津市,海河流域,果河桥,02-28 20:00,Ⅱ,6.6,7.98,13.38,699.6,15.7,1.92,0.034,0.022,12.08,*,*,正常
天津市,海河流域,西屯桥,02-28 20:00,Ⅱ,6.6,8.05,18.05,687.9,7.1,1.78,0.025,0.025,2.58,*,*,正常
河北省,海河流域,岗南水库, ,,--,--,--,--,--,--,--,--,--,*,*,维护
河北省,海河流域,下槐镇,02-28 20:00,Ⅰ,7.6,8.62,12.48,630.8,10.5,1.24,0.025,0.015,3.34,*,*,正常
河北省,海河流域,地都,02-28 20:00,Ⅱ,15.4,7.80,9.45,1440.8,13.8,0.64,0.210,0.036,4.09,*,*,正常
河北省,海河流域,平山桥,02-28 20:00,Ⅱ,10.8,8.61,11.00,1066.9,23.3,0.57,0.025,0.036,7.55,*,*,正常
河北省,海河流域,兆通,02-28 20:00,Ⅰ,7.3,8.72,11.26,648.3,2.9,1.50,0.033,0.013,3.03,*,*,正常
河北省,海河流域,大石桥,02-28 16:00,Ⅲ,11.3,7.76,9.29,1614.6,15.4,5.38,0.511,0.131,9.73,*,*,正常
河北省,海河流域,大黑汀水库,02-28 20:00,Ⅰ,4.5,8.06,12.40,615.3,0.8,1.87,0.065,0.017,4.92,*,*,正常
河北省,海河流域,涧河口,02-28 20:00,Ⅳ,6.5,8.59,16.17,1527.2,10.5,6.49,0.343,0.107,6.81,*,*,正常
河北省,海河流域,丰北闸,02-28 20:00,Ⅲ,7.1,8.61,18.21,1469.9,10.3,5.05,0.060,0.043,2.93,*,*,正常
河北省,海河流域,滦县大桥,02-28 20:00,Ⅱ,6.0,8.02,10.97,771.4,3.8,2.64,0.278,0.060,5.80,*,*,正常
河北省,海河流域,戴河口,02-28 20:00,Ⅴ,7.2,8.22,14.50,36572.4,7.0,13.07,0.731,0.033,4.66,*,*,正常
河北省,海河流域,田庄子,02-28 20:00,Ⅰ,11.0,8.30,13.40,555.8,2.5,0.76,0.025,0.012,5.95,*,*,正常
