省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河北省,海河流域,饮马河口,02-28 20:00,,9.3,9.33,--,24848.3,8.2,5.70,0.543,0.068,2.81,*,*,维护
河北省,海河流域,新开河口,02-28 20:00,Ⅲ,9.1,6.20,7.06,39634.3,15.2,5.37,0.323,0.005,1.73,*,*,正常
河北省,海河流域,岳城水库出口,02-28 20:00,Ⅰ,7.1,8.63,11.47,659.8,1.8,1.82,0.025,0.005,4.33,*,*,正常
河北省,海河流域,曲周,02-28 20:00,Ⅲ,8.4,8.03,10.65,1198.9,26.0,3.14,0.236,0.190,4.17,*,*,正常
河北省,海河流域,沙阳,02-28 20:00,Ⅱ,9.4,8.47,13.79,1605.0,21.3,2.52,0.159,0.071,6.82,*,*,正常
河北省,海河流域,艾辛庄,02-28 20:00,Ⅳ,11.5,8.32,10.74,1717.5,41.3,7.44,0.405,0.134,11.51,*,*,正常
河北省,海河流域,后西吴桥,02-28 20:00,Ⅲ,12.5,8.22,10.08,887.5,9.1,3.73,0.529,0.145,10.78,*,*,正常
河北省,海河流域,大沙地,02-28 16:00,Ⅰ,9.8,8.52,13.28,457.5,7.0,1.42,0.025,0.007,3.01,*,*,正常
河北省,海河流域,安州,02-28 20:00,Ⅱ,9.6,8.19,11.86,1690.4,11.7,3.39,0.036,0.054,4.43,*,*,正常
河北省,海河流域,膳马庙村北,02-28 20:00,Ⅱ,10.9,8.43,12.68,1674.2,10.8,3.96,0.052,0.060,5.80,*,*,正常
河北省,海河流域,北河店,02-28 20:00,Ⅱ,7.1,8.70,15.38,662.4,1.0,2.27,0.025,0.013,5.09,*,*,正常
河北省,海河流域,白合,02-28 20:00,Ⅰ,9.1,8.74,12.12,570.5,8.2,0.68,0.025,0.016,6.16,*,*,正常
河北省,海河流域,后城(老), ,,--,--,--,--,--,--,--,--,--,*,*,维护
河北省,海河流域,温泉屯,02-28 20:00,Ⅲ,0.8,8.26,11.01,1084.3,289.4,5.11,0.270,0.134,4.17,*,*,正常
河北省,海河流域,左卫桥,02-28 20:00,Ⅱ,2.6,8.18,9.44,761.1,16.6,1.89,0.150,0.049,4.40,*,*,正常
河北省,海河流域,大桑园,02-28 20:00,Ⅱ,4.6,8.47,13.11,809.7,4.5,1.83,0.025,0.044,6.93,*,*,正常
河北省,海河流域,墙子路,02-28 20:00,Ⅰ,4.4,8.49,10.96,480.7,1.2,0.80,0.025,0.005,2.40,*,*,正常
河北省,海河流域,大杖子(二),02-28 20:00,Ⅰ,4.0,8.41,12.56,1061.5,0.6,0.87,0.025,0.005,2.82,*,*,正常
河北省,海河流域,大杖子(一),02-28 20:00,Ⅱ,6.4,8.72,14.08,974.1,2.8,1.97,0.137,0.045,6.80,*,*,正常
河北省,海河流域,三块石,02-28 20:00,Ⅱ,7.0,8.38,15.11,1604.9,1.8,1.61,0.334,0.005,6.07,*,*,正常
河北省,海河流域,郭家屯,02-28 20:00,Ⅱ,0.1,8.36,10.94,518.9,8.8,2.03,0.196,0.054,4.73,*,*,正常
河北省,海河流域,上板城大桥,02-28 20:00,Ⅱ,7.2,7.81,11.25,949.2,11.2,2.79,0.081,0.068,8.11,*,*,正常
河北省,海河流域,上二道河子,02-28 20:00,Ⅰ,4.4,8.00,10.95,650.5,2.8,0.82,0.025,0.005,7.74,*,*,正常
河北省,海河流域,唐三营,02-28 20:00,Ⅱ,1.9,8.16,11.96,677.1,9.6,1.18,0.107,0.094,8.66,*,*,正常
河北省,海河流域,李台,02-28 20:00,Ⅱ,0.3,8.29,12.19,899.0,28.2,1.75,0.121,0.061,7.42,*,*,正常
河北省,辽河流域,甸子,02-28 20:00,Ⅰ,6.1,7.92,9.92,487.1,1.2,0.49,0.025,0.017,9.48,*,*,正常
河北省,海河流域,杨官庄自动站,02-28 20:00,Ⅲ,8.1,8.09,12.12,--,29.0,5.12,0.037,0.066,1.31,*,*,维护
河北省,海河流域,何老营,02-28 20:00,Ⅲ,9.3,8.29,14.47,--,2.7,5.57,0.097,0.089,2.00,*,*,维护
河北省,海河流域,永红桥,02-28 20:00,Ⅱ,11.9,8.10,9.22,1274.8,26.1,3.58,0.036,0.033,3.33,*,*,正常
河北省,海河流域,四埝村桥,02-28 20:00,Ⅳ,6.5,8.62,14.52,6390.6,52.7,6.48,0.031,0.052,2.29,*,*,正常
河北省,海河流域,三河东大桥(老), ,,--,--,--,--,--,--,--,--,--,*,*,维护
河北省,海河流域,大王务(老), ,,--,--,--,--,--,--,--,--,--,*,*,维护
河北省,海河流域,大套桥(老), ,,--,--,--,--,--,--,--,*,*,*,*,维护
河北省,海河流域,大王务,02-28 20:00,Ⅱ,6.4,8.51,12.86,462.5,5.8,2.03,0.025,0.025,0.73,*,*,正常
河北省,海河流域,王家摆,02-28 20:00,Ⅲ,7.8,8.40,18.23,1111.3,12.1,4.81,0.078,0.066,8.91,*,*,正常
河北省,海河流域,吴村,02-28 20:00,Ⅲ,5.8,8.44,17.56,977.9,6.1,5.03,0.231,0.109,8.62,*,*,正常
河北省,海河流域,台头,02-28 20:00,Ⅲ,7.5,8.22,11.59,1017.9,6.8,4.06,0.075,0.048,1.08,*,*,正常
河北省,海河流域,桑梓红旗闸,02-28 20:00,Ⅱ,8.3,8.44,9.55,955.1,2.2,2.83,0.046,0.029,6.46,*,*,正常
河北省,海河流域,三小营,02-28 20:00,Ⅳ,8.3,8.52,19.47,886.0,3.0,5.52,1.050,0.106,7.21,*,*,正常
河北省,海河流域,小范桥,02-28 20:00,Ⅱ,8.7,8.49,10.76,908.1,18.3,2.83,0.026,0.027,2.99,*,*,正常
河北省,海河流域,南张村,02-28 20:00,Ⅰ,7.6,8.79,11.67,638.4,5.8,0.91,0.043,0.008,3.28,*,*,正常
河北省,海河流域,采蒲台, ,,--,--,--,--,--,--,--,--,--,--,--,不具备运行条件
山西省,黄河流域,韩武村,02-28 20:00,Ⅲ,9.7,7.83,11.69,1303.0,13.0,3.66,0.853,0.137,6.71,*,*,正常
山西省,黄河流域,上兰,02-28 20:00,Ⅱ,3.1,8.39,11.45,843.2,7.3,1.77,0.354,0.005,2.86,*,*,正常
山西省,海河流域,堡子湾,02-28 20:00,Ⅲ,5.1,8.20,9.75,848.9,36.7,2.46,0.403,0.138,9.66,*,*,正常
山西省,海河流域,下北泉村,02-28 20:00,Ⅱ,6.8,8.50,11.18,537.3,6.5,0.91,0.161,0.078,7.10,*,*,正常
山西省,海河流域,册田水库出口,02-28 20:00,Ⅱ,5.6,8.13,11.25,1344.3,3.0,3.10,0.227,0.005,2.51,*,*,正常
山西省,海河流域,永嘉堡,02-28 20:00,Ⅲ,5.8,8.38,9.38,1006.5,21.8,3.77,0.795,0.119,9.66,*,*,正常
山西省,海河流域,古家坡,02-28 20:00,Ⅲ,1.8,8.13,8.62,886.5,64.4,4.24,0.988,0.176,4.09,*,*,正常
山西省,海河流域,利仁皂,02-28 20:00,Ⅱ,4.2,8.00,10.15,2291.1,5.6,2.93,0.140,0.043,3.51,*,*,正常
山西省,海河流域,闫家庄大桥,02-28 20:00,Ⅱ,10.4,8.57,10.50,469.8,5.2,1.04,0.025,0.026,4.32,*,*,正常
山西省,海河流域,白羊墅,02-28 20:00,Ⅲ,12.9,7.81,8.41,--,14.5,4.67,0.610,0.139,5.42,*,*,维护
山西省,海河流域,王家庄,02-28 20:00,Ⅰ,9.0,8.11,11.08,698.0,15.3,1.40,0.053,0.019,6.61,*,*,正常
山西省,海河流域,司徒桥,02-28 20:00,Ⅱ,7.4,7.75,9.58,790.8,10.0,2.40,0.050,0.028,4.72,*,*,正常
山西省,海河流域,关河水库出口,02-28 20:00,Ⅱ,7.1,7.91,9.60,737.8,1.3,2.21,0.162,0.018,1.48,*,*,正常
山西省,海河流域,北寨,02-28 20:00,Ⅱ,9.2,7.81,9.69,1082.8,8.9,3.09,0.493,0.087,7.16,*,*,正常
山西省,黄河流域,龙头,02-28 20:00,Ⅲ,7.9,7.82,7.78,895.2,109.5,2.45,0.051,0.117,5.55,*,*,正常
山西省,海河流域,东榆林水库出口,02-28 20:00,Ⅱ,5.2,8.43,20.84,703.8,6.5,2.84,0.139,0.066,3.70,*,*,正常
山西省,海河流域,王寨村,02-28 20:00,Ⅰ,8.1,8.07,10.83,653.1,4.5,0.71,0.066,0.012,4.14,*,*,正常
山西省,黄河流域,桑柳树,02-28 20:00,Ⅲ,8.5,8.25,9.81,2147.5,17.5,4.18,0.498,0.057,16.90,*,*,正常
山西省,黄河流域,郝村,02-28 20:00,Ⅱ,7.4,8.31,10.66,858.9,25.9,3.51,0.185,0.062,3.14,*,*,正常
山西省,黄河流域,上亳城,02-28 20:00,Ⅱ,11.8,8.33,7.69,944.4,9.6,1.49,0.025,0.075,5.48,*,*,正常
山西省,黄河流域,西曲村,02-28 20:00,Ⅲ,13.5,7.97,16.25,2015.9,21.8,5.30,0.126,0.151,9.81,*,*,正常
山西省,海河流域,梵王寺,02-28 20:00,Ⅱ,9.2,8.27,8.87,888.3,11.3,1.18,0.153,0.019,2.40,*,*,正常
山西省,海河流域,代县桥,02-28 20:00,Ⅲ,7.3,8.29,8.11,704.6,33.7,1.68,0.447,0.124,6.01,*,*,正常
山西省,海河流域,南庄,02-28 20:00,Ⅱ,7.3,7.97,9.83,612.8,8.7,1.18,0.230,0.046,5.11,*,*,正常
山西省,海河流域,坪上桥,02-28 20:00,Ⅰ,9.9,8.02,9.21,511.9,3.5,0.80,0.025,0.005,3.84,*,*,正常
山西省,黄河流域,上平望,02-28 20:00,Ⅳ,10.2,8.26,12.13,1559.6,24.4,4.23,1.069,0.077,7.66,*,*,正常
山西省,黄河流域,黑城村,02-28 20:00,Ⅱ,8.4,8.73,10.69,877.9,16.5,2.56,0.212,0.045,6.59,*,*,正常
山西省,黄河流域,曲立,02-28 20:00,Ⅱ,7.6,8.23,8.98,626.8,24.2,1.74,0.366,0.073,4.50,*,*,正常
山西省,黄河流域,裴家川口,02-28 20:00,Ⅱ,4.6,8.33,9.76,530.0,92.0,2.03,0.098,0.069,4.99,*,*,正常
山西省,黄河流域,碛口,02-28 20:00,Ⅲ,8.1,8.59,9.27,1084.9,21.8,3.19,0.807,0.097,14.18,*,*,正常
山西省,黄河流域,裴沟,02-28 20:00,Ⅲ,7.2,8.83,9.04,985.6,70.5,1.22,0.025,0.113,5.11,*,*,正常
山西省,黄河流域,三川河两河口桥,02-28 20:00,Ⅲ,10.2,8.62,10.31,1001.9,10.7,3.34,0.828,0.100,6.07,*,*,正常
山西省,黄河流域,碧村,02-28 20:00,Ⅲ,7.2,8.06,9.33,974.0,95.8,1.10,0.025,0.136,5.23,*,*,正常
山西省,黄河流域,北峪口,02-28 20:00,Ⅰ,5.0,8.19,11.18,637.0,3.8,1.37,0.025,0.005,3.38,*,*,正常
山西省,黄河流域,南姚,02-28 16:00,劣Ⅴ,9.0,8.03,9.82,1244.7,10.7,4.74,2.499,0.378,7.73,*,*,正常
内蒙古自治区,黄河流域,头道拐,02-28 20:00,Ⅰ,2.4,8.46,9.98,982.9,175.1,1.78,0.099,0.005,2.95,*,*,正常
内蒙古自治区,黄河流域,喇嘛湾,02-28 20:00,Ⅰ,1.0,8.49,10.15,864.5,186.5,1.78,0.084,0.008,2.78,*,*,正常
内蒙古自治区,黄河流域,大入黄口,02-28 16:00,Ⅲ,5.3,7.61,7.74,2471.3,1.8,4.98,0.682,0.040,3.02,*,*,正常
内蒙古自治区,黄河流域,画匠营子,02-28 16:00,Ⅰ,2.5,6.71,10.76,1015.2,124.6,1.76,0.025,*,*,*,*,正常
内蒙古自治区,黄河流域,磴口,02-28 16:00,Ⅱ,0.8,8.35,12.07,913.1,89.9,1.81,0.025,0.033,2.94,*,*,正常
内蒙古自治区,黄河流域,海勃湾,02-28 16:00,,11.5,7.84,8.67,1068.9,0.4,--,--,*,*,*,*,维护
内蒙古自治区,松花江流域,根河口内(大铁桥),02-28 20:00,Ⅱ,7.8,6.63,7.44,95.3,2.7,1.23,0.033,0.024,0.10,*,*,正常
内蒙古自治区,松花江流域,陶海,02-28 20:00,Ⅲ,1.3,7.22,6.51,338.5,13.9,2.03,0.045,0.125,2.11,*,*,正常
内蒙古自治区,黄河流域,黑柳子,02-28 16:00,Ⅱ,1.5,8.67,11.80,897.6,101.5,1.49,0.025,0.047,3.41,*,*,正常
内蒙古自治区,黄河流域,总排干入黄口,02-28 20:00,Ⅳ,10.2,8.13,9.57,--,3.7,6.52,0.208,0.023,1.24,*,*,维护
内蒙古自治区,黄河流域,卧佛下,02-28 16:00,Ⅱ,5.6,7.98,9.78,887.7,11.3,0.93,0.025,0.023,7.73,*,*,正常
内蒙古自治区,西北诸河,王家庄,02-28 16:00,Ⅱ,0.8,8.53,10.51,585.1,59.3,1.11,0.084,0.024,2.35,*,*,正常
辽宁省,辽河流域,卧龙湖, ,,--,--,--,--,--,--,--,--,--,*,*,维护
辽宁省,辽河流域,于台,02-28 20:00,Ⅲ,10.8,7.10,7.31,854.9,2.5,5.96,0.434,0.100,10.75,*,*,正常
辽宁省,辽河流域,东陵大桥,02-28 16:00,Ⅲ,8.6,7.69,13.09,950.0,4.4,3.37,0.504,0.108,6.07,*,*,正常
辽宁省,辽河流域,于家房,02-28 16:00,Ⅲ,5.9,8.78,13.22,1030.1,29.2,4.90,0.099,0.104,7.77,*,*,正常
辽宁省,辽河流域,马虎山,02-28 20:00,Ⅱ,3.3,7.82,11.22,588.7,16.1,3.78,0.100,0.053,5.42,*,*,正常
辽宁省,辽河流域,巨流河大桥,02-28 20:00,Ⅱ,5.4,7.95,13.07,570.0,16.4,3.38,0.073,0.052,6.06,*,*,正常
辽宁省,辽河流域,兴国桥,02-28 20:00,Ⅱ,4.5,7.40,9.72,599.0,0.4,2.39,0.205,0.037,2.22,*,*,正常
辽宁省,辽河流域,城子坦,02-28 16:00,Ⅰ,5.0,7.60,11.85,265.9,13.3,0.76,0.065,0.017,4.90,*,*,正常
辽宁省,辽河流域,麦家,02-28 20:00,Ⅲ,5.2,8.28,16.50,639.8,2.9,2.84,0.558,0.071,9.08,*,*,正常
辽宁省,辽河流域,复州湾大桥,02-28 20:00,Ⅱ,5.5,7.97,12.80,618.2,3.5,3.28,0.448,0.077,9.30,*,*,正常
辽宁省,辽河流域,三台子,02-28 16:00,Ⅱ,4.1,8.32,13.10,590.4,2.4,2.80,0.482,0.084,8.56,*,*,正常
辽宁省,辽河流域,英那河入海口,02-28 16:00,Ⅱ,4.7,7.57,13.51,172.9,4.9,0.72,0.079,0.069,3.32,*,*,正常
辽宁省,辽河流域,登化,02-28 20:00,Ⅲ,5.6,8.47,16.12,678.7,8.1,5.17,0.337,0.123,11.51,*,*,正常
辽宁省,辽河流域,小姐庙,02-28 16:00,Ⅲ,4.7,7.96,9.11,782.4,14.8,2.26,0.723,0.058,6.13,*,*,正常
辽宁省,辽河流域,口子街,02-28 20:00,Ⅱ,4.4,8.60,13.31,320.9,1.4,1.26,0.075,0.029,4.62,*,*,正常
辽宁省,辽河流域,牛庄,02-28 20:00,Ⅱ,5.3,8.40,10.83,746.9,21.8,2.40,0.119,0.046,12.26,*,*,正常
辽宁省,辽河流域,关门山大桥,02-28 20:00,Ⅰ,1.0,7.99,12.62,387.0,0.7,0.60,0.028,0.011,4.50,*,*,正常
辽宁省,辽河流域,大伙房水库,02-28 20:00,Ⅱ,4.2,7.22,12.60,233.7,0.9,2.23,0.025,0.025,3.57,0.016,*,正常
辽宁省,辽河流域,阿及堡,02-28 20:00,Ⅱ,2.0,8.12,9.05,511.0,135.2,2.31,0.164,0.098,7.25,*,*,正常
辽宁省,辽河流域,戈布桥,02-28 12:00,Ⅱ,1.1,7.84,12.83,303.6,5.8,3.76,0.030,0.080,2.87,*,*,正常
辽宁省,辽河流域,台沟,02-28 16:00,Ⅰ,1.3,7.73,10.97,253.5,3.0,1.78,0.025,0.017,3.86,*,*,正常
辽宁省,辽河流域,古楼,02-28 16:00,Ⅰ,1.4,7.90,11.66,264.0,4.8,1.99,0.025,0.020,5.13,*,*,正常
辽宁省,辽河流域,老官砬子,02-28 16:00,Ⅰ,5.1,8.75,12.07,290.5,2.8,0.71,0.025,0.011,3.84,*,*,正常
辽宁省,辽河流域,兴安,02-28 16:00,Ⅱ,8.3,8.60,14.32,429.3,3.5,2.09,0.349,0.031,4.51,*,*,正常
辽宁省,辽河流域,凤鸣电站,02-28 20:00,Ⅰ,3.5,8.42,9.51,291.3,2.4,1.42,0.025,0.011,2.58,*,*,正常
辽宁省,辽河流域,南太子河入库口,02-28 20:00,Ⅰ,1.2,7.22,12.54,110.3,1.2,0.48,0.025,0.005,3.38,*,*,正常
辽宁省,辽河流域,江桥,02-28 20:00,Ⅱ,6.2,7.72,11.94,142.7,1.3,2.27,0.025,0.015,1.86,*,*,正常
辽宁省,辽河流域,爱河大桥,02-28 20:00,,31.7,7.23,8.76,0.5,0.4,2.71,--,0.747,4.72,*,*,维护
辽宁省,辽河流域,蒲石河大桥,02-28 20:00,Ⅰ,3.6,7.69,13.91,342.3,1.1,0.38,0.025,0.008,3.62,*,*,正常
辽宁省,辽河流域,王家沟,02-28 20:00,Ⅰ,6.2,8.10,11.31,808.6,8.0,1.49,0.056,0.020,5.92,*,*,正常
辽宁省,辽河流域,女儿河入河口,02-28 20:00,Ⅱ,5.2,8.07,15.02,1052.4,5.8,2.45,0.173,0.027,30.70,*,*,正常
辽宁省,辽河流域,柳家桥,02-28 20:00,劣Ⅴ,1.8,8.34,13.94,769.9,112.2,5.74,2.212,0.219,9.88,*,*,正常
辽宁省,辽河流域,何家信子,02-28 20:00,Ⅱ,5.8,8.06,13.74,318.9,2.9,1.61,0.075,0.022,1.22,*,*,正常
辽宁省,辽河流域,西树林,02-28 16:00,Ⅱ,5.3,8.53,15.06,1362.9,8.9,3.72,0.028,0.088,13.97,*,*,正常
辽宁省,辽河流域,高台子,02-28 20:00,Ⅳ,3.0,7.57,3.41,1145.0,17.0,2.91,0.042,0.108,13.15,*,*,正常
辽宁省,辽河流域,茧场,02-28 16:00,Ⅱ,2.6,7.78,14.06,254.7,6.2,0.99,0.122,0.037,7.14,*,*,正常
辽宁省,辽河流域,大清河口,02-28 20:00,Ⅱ,6.4,8.11,16.31,431.4,6.0,2.56,0.209,0.040,17.30,*,*,正常
辽宁省,辽河流域,汤河水库, ,,--,--,--,--,--,--,--,--,--,*,*,维护
辽宁省,辽河流域,河洪桥,02-28 20:00,Ⅳ,3.7,7.55,10.96,892.9,44.0,2.45,1.454,0.109,7.19,*,*,正常
辽宁省,辽河流域,二道河水库口,02-28 20:00,Ⅰ,5.2,8.02,9.54,464.0,1.4,0.56,0.025,0.009,4.32,*,*,正常
辽宁省,辽河流域,下王家,02-28 20:00,Ⅲ,3.8,7.72,10.88,639.9,14.3,1.21,0.538,0.030,5.75,*,*,正常
